customer_id,legacy_customer_id,first_name,last_name,date_of_birth,gender,email,phone,registration_date,acquisition_channel,home_city,province,customer_segment,loyalty_status,customer_status
CUS-000001,1.0,Kagiso,Mthembu,1964-11-23,Female,kagiso.mthembu1@example.com,27806794542.0,2020-12-09,Store,Pretoria,Gauteng,High Value,,
CUS-000002,2.0,Zanele,Jacobs,1968-12-24,Male,zanele.jacobs2@example.com,27808213503.0,2022-12-23,Referral,Umhlanga,KwaZulu-Natal,Emerging,,
CUS-000003,3.0,Naledi,Botha,1996-07-05,Prefer not to say,,27860397578.0,2019-02-23,Store,Bloemfontein,Free State,Core,,
CUS-000004,4.0,Aisha,Botha,1984-08-31,Male,,27648953446.0,2018-02-07,Website,Umhlanga,KwaZulu-Natal,Standard,,
CUS-000005,,Michael,Mokoena,2002-06-24,Male,michael.mokoena5@example.com,27689135499.0,2025-10-08,Store,Gqeberha,Eastern Cape,Standard,,
CUS-000006,6.0,Daniel,Mokoena,1957-03-17,Prefer not to say,daniel.mokoena6@example.com,27755241755.0,2018-04-13,Referral,Cape Town,Western Cape,Core,,
CUS-000007,7.0,Nomsa,Nkosi,2001-07-20,Prefer not to say,nomsa.nkosi7@example.com,27805574228.0,2022-10-09,Website,Cape Town,Western Cape,Core,,
CUS-000008,,Lerato,Jacobs,1961-03-05,Female,lerato.jacobs8@example.com,27642811011.0,2026-01-07,Website,Durban,KwaZulu-Natal,Standard,,
CUS-000009,,Nomsa,Williams,,Female,nomsa.williams9@example.com,,2025-06-18,Marketplace,Bloemfontein,Free State,Emerging,,
CUS-000010,10.0,Naledi,Dlamini,1951-08-21,Male,,27818906121.0,2019-03-05,Referral,Johannesburg,Gauteng,Emerging,,
CUS-000011,11.0,Lerato,Smith,,Female,,27807587128.0,2018-08-26,Marketplace,Polokwane,Limpopo,High Value,,
CUS-000012,12.0,Daniel,Khumalo,1948-01-03,Prefer not to say,daniel.khumalo12@example.com,27757027153.0,2021-09-26,Store,Bloemfontein,Free State,Core,,
CUS-000013,,Naledi,Williams,1976-01-28,Female,naledi.williams13@example.com,27723686165.0,2025-06-14,Website,Bloemfontein,Free State,Core,,
CUS-000014,14.0,Nomsa,Nkosi,1988-07-27,Prefer not to say,nomsa.nkosi14@example.com,27675513192.0,2021-02-17,Store,Stellenbosch,Western Cape,Standard,,
CUS-000015,15.0,Naledi,Khumalo,1948-04-11,Female,naledi.khumalo15@example.com,27761519891.0,2018-11-09,Mobile,Durban,KwaZulu-Natal,Core,,
CUS-000016,16.0,Naledi,Jacobs,1971-03-17,Prefer not to say,naledi.jacobs16@example.com,27689853746.0,2022-01-06,Website,Midrand,Gauteng,Core,,
CUS-000017,,Naledi,Botha,1948-06-14,Female,naledi.botha17@example.com,27814720425.0,2023-04-07,Referral,Polokwane,Limpopo,Standard,,
CUS-000018,18.0,Daniel,Smith,1951-08-11,Prefer not to say,daniel.smith18@example.com,27855085104.0,2018-07-20,Store,Stellenbosch,Western Cape,Standard,,
CUS-000019,19.0,Daniel,Jacobs,1976-11-04,Male,daniel.jacobs19@example.com,27705846741.0,2021-06-02,Website,Umhlanga,KwaZulu-Natal,Standard,,
CUS-000020,,Daniel,Nkosi,1986-09-06,Female,daniel.nkosi20@example.com,27625907902.0,2023-10-02,Store,Pretoria,Gauteng,Core,,
CUS-000021,,Aisha,Mokoena,1978-11-19,Female,aisha.mokoena21@example.com,27818180170.0,2025-11-05,Mobile,Stellenbosch,Western Cape,Emerging,,
CUS-000022,22.0,Sipho,Khumalo,1954-02-07,Prefer not to say,,27767279576.0,2019-07-11,Store,Midrand,Gauteng,Emerging,,
CUS-000023,23.0,Nomsa,Mokoena,1964-06-01,Prefer not to say,nomsa.mokoena23@example.com,27732997226.0,2022-10-09,Website,Durban,KwaZulu-Natal,Standard,,
CUS-000024,24.0,Sipho,Jacobs,1964-01-04,Prefer not to say,sipho.jacobs24@example.com,27602125606.0,2021-09-27,Store,Cape Town,Western Cape,Standard,,
CUS-000025,25.0,Daniel,Dlamini,1966-12-12,Prefer not to say,daniel.dlamini25@example.com,27864526093.0,2020-03-29,Store,Johannesburg,Gauteng,High Value,,
CUS-000026,26.0,Lerato,Botha,,Prefer not to say,,27863690660.0,2018-11-12,Marketplace,Umhlanga,KwaZulu-Natal,Standard,,
CUS-000027,27.0,Kagiso,Khumalo,1993-12-15,Prefer not to say,kagiso.khumalo27@example.com,27698430242.0,2020-03-26,Store,Johannesburg,Gauteng,Emerging,,
CUS-000028,28.0,Nomsa,Mokoena,,Male,nomsa.mokoena28@example.com,27609015723.0,2022-09-30,Mobile,Stellenbosch,Western Cape,Emerging,,
CUS-000029,29.0,Zanele,Naidoo,1999-05-08,Male,zanele.naidoo29@example.com,27659674418.0,2018-04-19,Website,Johannesburg,Gauteng,Standard,,
CUS-000030,30.0,Sipho,Nkosi,,Prefer not to say,,27606132894.0,2018-04-06,Marketplace,Stellenbosch,Western Cape,Core,,
CUS-000031,31.0,Michael,Smith,1950-07-17,Female,michael.smith31@example.com,27602014735.0,2020-12-17,Store,Durban,KwaZulu-Natal,High Value,,
CUS-000032,,Daniel,Williams,1963-02-23,Prefer not to say,daniel.williams32@example.com,27716785049.0,2024-09-24,Store,Gqeberha,Eastern Cape,Core,,
CUS-000033,33.0,Sipho,Nkosi,1994-02-20,Prefer not to say,sipho.nkosi33@example.com,27693108777.0,2022-02-06,Mobile,Cape Town,Western Cape,Core,,
CUS-000034,34.0,Nomsa,Jacobs,1978-04-09,Prefer not to say,nomsa.jacobs34@example.com,27838062185.0,2021-09-23,Store,Sandton,Gauteng,Standard,,
CUS-000035,35.0,Nomsa,Mokoena,,Male,,27722850700.0,2021-12-22,Marketplace,Stellenbosch,Western Cape,High Value,,
CUS-000036,36.0,Aisha,Nkosi,1978-12-28,Female,aisha.nkosi36@example.com,27688230023.0,2021-08-23,Store,Midrand,Gauteng,Standard,,
